City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Tuatapere,NZ,2021-11-18 01:03:53,-46.1333,167.6833,61.77,48,22,9.08
122,Tacna,PE,2021-11-18 00:59:11,-18.0056,-70.2483,58.1,82,100,2.51
123,Santa Cruz,BO,2021-11-18 01:03:54,-17.8,-63.1667,69.26,64,75,11.5
124,Sakaiminato,JP,2021-11-18 01:03:54,35.55,133.2333,60.04,53,100,10.54
125,Atuona,PF,2021-11-18 01:03:54,-9.8,-139.0333,77.85,76,36,12.19
126,Lorengau,PG,2021-11-18 01:03:55,-2.0226,147.2712,82.35,78,34,4.41
127,Skjervoy,NO,2021-11-18 01:03:55,70.0311,20.9714,41.94,81,100,7.07
128,Lavrentiya,RU,2021-11-18 01:03:55,65.5833,-171.0,4.35,92,48,9.95
129,Vanimo,PG,2021-11-18 01:01:19,-2.6741,141.3028,85.12,69,51,4.45
130,Chapais,CA,2021-11-18 01:03:56,49.7834,-74.8492,24.58,93,100,10.83
131,Thompson,CA,2021-11-18 01:03:56,55.7435,-97.8558,23.83,86,100,15.26
132,Tramore,IE,2021-11-18 01:03:56,52.1624,-7.1524,51.1,77,100,1.99
133,Mogzon,RU,2021-11-18 01:03:56,51.7435,111.9606,13.55,74,12,12.17
134,Souillac,MU,2021-11-18 01:03:57,-20.5167,57.5167,75.36,76,12,12.68
135,Sorata,BO,2021-11-18 01:03:57,-15.7667,-68.6333,48.87,97,100,3.44
136,Avarua,CK,2021-11-18 01:03:57,-21.2078,-159.775,82.45,74,100,16.11
137,Hualmay,PE,2021-11-18 01:03:57,-11.0964,-77.6139,64.26,83,100,7.99
138,Makhinjauri,GE,2021-11-18 01:03:58,41.6739,41.694,46.26,87,0,16.11
139,Pisco,PE,2021-11-18 01:03:58,-13.7,-76.2167,64.45,77,0,13.8
140,Bathsheba,BB,2021-11-18 00:56:35,13.2167,-59.5167,79.41,78,40,14.97
141,San Quintin,MX,2021-11-18 01:04:58,30.4833,-115.95,62.38,79,0,8.46
142,Lata,PT,2021-11-18 01:04:59,40.1629,-8.3327,53.08,64,64,7.31
143,Kodiak,US,2021-11-18 01:01:35,57.79,-152.4072,18.91,58,40,23.02
144,Castro,BR,2021-11-18 01:03:34,-24.7911,-50.0119,66.15,84,100,2.57
145,Jinhua,CN,2021-11-18 01:00:20,29.1078,119.6547,56.86,90,90,0.72
146,Yulara,AU,2021-11-18 01:04:59,-25.2406,130.9889,89.44,12,0,10.36
147,Sur,OM,2021-11-18 01:04:59,22.5667,59.5289,74.39,56,0,8.39
148,Yamada,JP,2021-11-18 01:05:00,39.4667,141.95,52.36,61,100,6.26
149,Saint George,US,2021-11-18 01:00:37,37.1041,-113.5841,59.63,18,1,3.0
150,Nanortalik,GL,2021-11-18 01:05:00,60.1432,-45.2371,28.09,76,100,3.8
151,Plettenberg Bay,ZA,2021-11-18 01:05:00,-34.0527,23.3716,58.03,82,100,11.5
152,Cherskiy,RU,2021-11-18 01:05:01,68.75,161.3,11.53,78,19,11.05
153,Leningradskiy,RU,2021-11-18 01:05:01,69.3833,178.4167,-2.9,90,12,9.42
154,Pangnirtung,CA,2021-11-18 01:05:01,66.1451,-65.7125,3.31,84,100,5.64
155,Nguruka,TZ,2021-11-18 01:05:01,-5.1092,31.0419,67.24,78,79,2.42
156,Kralendijk,BQ,2021-11-18 01:01:13,12.15,-68.2667,81.68,76,100,14.32
157,Narsaq,GL,2021-11-18 01:05:02,60.9167,-46.05,26.82,75,100,5.86
158,Hithadhoo,MV,2021-11-18 01:05:02,-0.6,73.0833,81.93,79,22,17.22
159,Port Hardy,CA,2021-11-18 01:01:23,50.6996,-127.4199,42.78,71,100,10.25
160,Mocuba,MZ,2021-11-18 01:05:03,-16.8392,36.9856,78.44,63,5,5.23
161,Baykit,RU,2021-11-18 01:05:03,61.67,96.37,-1.89,99,100,2.62
162,Krasnoselkup,RU,2021-11-18 01:05:03,65.7,82.4667,9.81,94,100,11.97
163,Port Elizabeth,ZA,2021-11-18 01:03:36,-33.918,25.5701,58.1,94,90,17.27
164,Salinopolis,BR,2021-11-18 01:05:04,-0.6136,-47.3561,81.07,80,23,12.12
165,The Valley,AI,2021-11-18 01:05:04,18.217,-63.0578,80.1,77,1,23.87
166,Kihei,US,2021-11-18 01:02:48,20.785,-156.4656,85.26,90,100,2.73
167,Lebu,CL,2021-11-18 01:03:41,-37.6167,-73.65,55.2,85,97,15.68
168,Kutum,SD,2021-11-18 01:05:04,14.2,24.6667,64.99,35,17,6.62
169,Sistranda,NO,2021-11-18 01:05:05,63.7256,8.834,40.89,68,100,31.45
170,Magan,ES,2021-11-18 01:05:05,39.9683,-3.931,47.46,55,0,9.06
171,Monaco-Ville,FR,2021-11-18 01:05:05,43.731,7.4248,59.23,77,0,12.66
172,Victoria,HK,2021-11-18 01:00:25,22.2855,114.1577,72.95,71,3,1.01
173,Harper,LR,2021-11-18 01:05:06,4.375,-7.7169,77.23,88,9,5.7
174,Gao,ML,2021-11-18 01:05:06,16.6362,1.637,72.91,12,0,10.02
175,Faanui,PF,2021-11-18 01:05:06,-16.4833,-151.75,80.42,78,100,19.44
176,Vestmannaeyjar,IS,2021-11-18 00:57:45,63.4427,-20.2734,37.81,83,100,21.92
177,Balabac,PH,2021-11-18 01:05:07,7.9868,117.0645,79.63,84,100,5.77
178,Agadez,NE,2021-11-18 01:05:07,19.75,10.25,73.27,16,2,8.88
179,Fare,PF,2021-11-18 01:05:07,-16.7,-151.0167,79.97,75,100,18.54
180,Dakar,SN,2021-11-18 01:01:39,14.6937,-17.4441,78.51,78,100,11.79
181,Wajima,JP,2021-11-18 01:05:08,37.4,136.9,59.11,67,100,19.75
182,Acapulco,MX,2021-11-18 01:04:56,16.8634,-99.8901,80.42,78,40,6.91
183,Dikson,RU,2021-11-18 01:05:08,73.5069,80.5464,-13.77,95,63,3.24
184,Tateyama,JP,2021-11-18 01:05:08,34.9833,139.8667,65.1,75,93,9.4
185,Seoul,KR,2021-11-18 01:05:19,37.5683,126.9778,53.11,66,98,5.17
186,Hervey Bay,AU,2021-11-18 01:06:08,-25.2986,152.8535,82.04,59,30,12.75
187,Yar-Sale,RU,2021-11-18 01:06:09,66.8333,70.8333,-5.15,96,95,15.59
188,Taoudenni,ML,2021-11-18 01:06:09,22.6783,-3.9836,74.25,16,80,4.65
189,Lanivtsi,UA,2021-11-18 01:06:09,49.8633,26.0908,30.79,85,6,6.44
190,Batemans Bay,AU,2021-11-18 01:06:10,-35.7167,150.1833,77.99,41,98,9.26
191,Lompoc,US,2021-11-18 01:06:10,34.6391,-120.4579,63.01,78,20,5.75
192,Xunchang,CN,2021-11-18 01:06:10,28.4543,104.715,51.6,80,0,0.69
193,Ploemeur,FR,2021-11-18 01:06:10,47.7333,-3.4333,48.94,94,38,3.44
194,Mansoa,GW,2021-11-18 01:06:11,12.0733,-15.3189,75.83,77,100,4.56
195,Fortuna,US,2021-11-18 01:06:11,40.5982,-124.1573,56.19,69,1,5.75
196,Namatanai,PG,2021-11-18 00:57:55,-3.6667,152.4333,85.77,58,53,2.33
197,Saint-Augustin,CA,2021-11-18 01:00:07,51.226,-58.6502,27.18,75,10,11.32
198,Luderitz,NA,2021-11-18 01:03:44,-26.6481,15.1594,58.73,68,0,17.85
199,Longyearbyen,SJ,2021-11-18 00:56:40,78.2186,15.6401,24.64,68,40,37.98
200,Guarapuava,BR,2021-11-18 01:06:11,-25.3953,-51.4581,62.24,98,100,0.87
201,Port Hedland,AU,2021-11-18 01:06:12,-20.3167,118.5667,91.45,31,33,11.5
202,Gwadar,PK,2021-11-18 01:06:12,25.1216,62.3254,72.54,37,0,11.05
203,Faya,SA,2021-11-18 01:06:12,18.3851,42.4509,54.12,58,2,1.1
204,Qasigiannguit,GL,2021-11-18 01:06:12,68.8193,-51.1922,-13.2,79,0,6.58
205,Gadarwara,IN,2021-11-18 01:06:13,22.9167,78.7833,63.27,64,3,6.35
206,Nouadhibou,MR,2021-11-18 01:06:13,20.931,-17.0347,67.12,86,100,11.3
207,Nhulunbuy,AU,2021-11-18 01:06:13,-12.2333,136.7667,93.81,46,40,12.66
208,Lauterbach,DE,2021-11-18 01:06:14,50.6333,9.4,43.12,96,100,5.14
209,Puerto Maldonado,PE,2021-11-18 01:06:14,-12.6,-69.1833,74.62,96,100,5.21
210,Nantucket,US,2021-11-18 01:06:06,41.2835,-70.0995,51.96,75,1,17.27
211,Anadyr,RU,2021-11-18 01:06:14,64.75,177.4833,19.9,73,40,22.37
212,Tairua,NZ,2021-11-18 01:06:14,-37.0167,175.85,65.08,48,0,4.9
213,Daugai,LT,2021-11-18 01:06:15,54.3667,24.3333,36.63,87,100,11.52
214,Tiksi,RU,2021-11-18 01:06:15,71.6872,128.8694,-5.58,96,100,2.3
215,Comodoro Rivadavia,AR,2021-11-18 01:06:15,-45.8667,-67.5,64.26,45,85,10.36
216,Mandalgovi,MN,2021-11-18 01:06:15,45.7625,106.2708,19.2,41,0,6.96
217,Pacific Grove,US,2021-11-18 01:06:16,36.6177,-121.9166,63.43,84,1,3.0
218,Maragogi,BR,2021-11-18 00:58:57,-9.0122,-35.2225,78.06,74,19,10.07
219,Nizwa,OM,2021-11-18 01:06:16,22.9333,57.5333,66.51,62,0,2.93
220,Chicomuselo,MX,2021-11-18 01:06:16,15.7667,-92.2667,69.44,90,70,3.65
221,Romny,UA,2021-11-18 01:06:16,50.751,33.4747,24.24,70,12,6.42
222,Kudahuvadhoo,MV,2021-11-18 01:06:17,2.6708,72.8944,83.1,77,100,18.63
223,Boguchany,RU,2021-11-18 01:06:17,58.3814,97.4531,7.72,96,100,5.12
224,Sinnamary,GF,2021-11-18 01:06:17,5.3833,-52.95,78.01,88,98,8.01
225,Linjiang,CN,2021-11-18 01:06:17,41.8069,126.9078,43.92,73,73,6.69
226,Cape Town,ZA,2021-11-18 01:04:49,-33.9258,18.4232,60.28,54,63,16.78
227,Anderson,US,2021-11-18 01:06:18,34.5334,-82.6499,61.25,73,1,0.0
228,La Ronge,CA,2021-11-18 01:06:18,55.1001,-105.2842,15.19,93,99,7.96
229,Vao,NC,2021-11-18 01:06:18,-22.6667,167.4833,75.09,82,63,16.37
230,Ankara,TR,2021-11-18 01:04:33,39.9199,32.8543,43.21,82,100,0.0
231,Kharp,RU,2021-11-18 01:06:19,66.8014,65.8081,-10.48,92,90,9.15
232,Nesbyen,NO,2021-11-18 01:07:19,60.5681,9.1027,38.01,94,6,4.74
233,Samarai,PG,2021-11-18 01:07:19,-10.6167,150.6667,83.75,75,67,10.13
234,Udachnyy,RU,2021-11-18 01:07:19,66.4167,112.4,-23.06,100,71,3.09
235,Linxia,CN,2021-11-18 01:07:20,35.6003,103.2064,39.34,32,0,1.79
236,Saint-Georges,GD,2021-11-18 01:05:08,12.0564,-61.7485,78.48,83,20,10.36
237,Izumo,JP,2021-11-18 01:07:20,35.3667,132.7667,59.86,57,98,8.55
238,Negara,ID,2021-11-18 01:07:20,-8.3151,114.6025,82.6,73,95,1.54
239,Kieta,PG,2021-11-18 01:07:21,-6.2167,155.6333,85.32,67,14,2.95
240,Georgetown,MY,2021-11-18 01:07:21,5.4112,100.3354,76.95,94,40,0.0
241,Nivala,FI,2021-11-18 01:07:21,63.9167,24.9667,37.69,89,100,7.61
242,Makakilo City,US,2021-11-18 01:00:10,21.3469,-158.0858,83.95,67,90,4.61
243,Tigil,RU,2021-11-18 01:07:21,57.8,158.6667,16.75,82,100,2.64
244,Port-Cartier,CA,2021-11-18 01:07:22,50.0334,-66.8654,32.5,64,96,2.33
245,Gornopravdinsk,RU,2021-11-18 01:07:22,60.05,69.9,3.9,91,100,10.18
246,Mount Isa,AU,2021-11-18 01:07:22,-20.7333,139.5,92.97,24,6,13.8
247,Alihe,CN,2021-11-18 01:07:22,50.5667,123.7167,24.35,81,100,4.83
248,Palmer,US,2021-11-18 01:07:23,42.1584,-72.3287,49.48,73,100,1.01
249,Ambon,ID,2021-11-18 01:07:23,-3.6954,128.1814,86.14,70,40,4.61
250,Klaksvik,FO,2021-11-18 01:05:56,62.2266,-6.589,41.92,89,100,13.13
251,Fairbanks,US,2021-11-18 01:05:15,64.8378,-147.7164,6.76,71,75,1.01
252,Iki-Burul,RU,2021-11-18 01:07:23,45.8208,44.6472,25.14,69,100,7.11
253,Gashua,NG,2021-11-18 01:07:23,12.871,11.0482,78.21,16,100,8.84
254,Pangody,RU,2021-11-18 00:59:01,65.85,74.4859,4.1,95,100,14.34
255,Gizo,SB,2021-11-18 01:07:24,-8.103,156.8419,84.7,66,20,2.57
256,Porosozero,RU,2021-11-18 01:07:24,62.7191,32.727,36.63,97,100,8.7
257,Lahij,YE,2021-11-18 01:07:24,13.1667,44.5833,72.54,68,0,2.91
258,Noumea,NC,2021-11-18 01:07:24,-22.2763,166.4572,85.98,99,37,18.9
259,Payakumbuh,ID,2021-11-18 01:07:25,-0.2202,100.6308,72.19,90,100,2.01
260,Robertsport,LR,2021-11-18 01:07:25,6.7533,-11.3686,80.51,77,76,5.68
261,Kjopsvik,NO,2021-11-18 01:07:25,68.097,16.3742,40.05,93,100,8.41
262,Meulaboh,ID,2021-11-18 01:07:25,4.1363,96.1285,76.23,78,100,3.42
263,Shiozawa,JP,2021-11-18 01:07:26,37.0333,138.85,56.86,63,100,2.98
264,Ust-Nera,RU,2021-11-18 01:07:26,64.5667,143.2,0.25,99,100,5.7
265,Diamantina,BR,2021-11-18 01:07:26,-18.2494,-43.6003,61.52,91,44,3.65
266,Gull Lake,CA,2021-11-18 01:07:26,50.1001,-108.4847,13.98,85,3,2.59
267,San Cristobal,VE,2021-11-18 01:07:27,7.7669,-72.225,69.98,95,100,3.2
268,Itarema,BR,2021-11-18 00:59:03,-2.9248,-39.9167,80.62,78,11,17.87
269,Esperance,AU,2021-11-18 01:07:27,-33.8667,121.9,58.84,77,100,15.75
270,Pervomayskiy,RU,2021-11-18 01:07:27,53.2485,40.2871,31.14,75,100,5.93
271,Sao Joao Da Barra,BR,2021-11-18 01:04:30,-21.6403,-41.0511,73.11,92,89,15.23
272,Holme,DK,2021-11-18 01:07:27,56.1138,10.1725,44.64,90,85,14.92
273,Mashhad,IR,2021-11-18 01:07:28,36.297,59.6062,26.74,93,40,4.61
274,Khatanga,RU,2021-11-18 01:07:28,71.9667,102.5,-24.03,98,21,3.36
275,Rio Hato,PA,2021-11-18 01:07:28,8.3833,-80.1667,79.79,86,76,4.88
276,Pontal Do Parana,BR,2021-11-18 01:07:28,-25.6533,-48.5128,78.73,93,100,4.76
277,Faurei,RO,2021-11-18 01:07:29,45.0833,27.2667,38.23,76,91,6.4
278,Egvekinot,RU,2021-11-18 01:07:29,66.3167,-179.1667,-1.37,84,2,6.93
279,Sovetskiy,RU,2021-11-18 01:08:29,61.3614,63.5842,3.07,93,19,7.2
280,Nuevo Progreso,MX,2021-11-18 01:08:29,23.1667,-97.95,76.59,67,2,1.01
281,Bellary,IN,2021-11-18 01:08:30,15.15,76.9333,70.27,92,100,3.18
282,Vandalia,US,2021-11-18 01:08:30,39.8906,-84.1988,65.7,68,90,16.11
283,Lasa,IT,2021-11-18 01:04:53,46.6166,10.7002,41.74,90,36,3.83
284,Nome,US,2021-11-18 01:08:30,64.5011,-165.4064,-7.53,60,1,0.0
285,Marsh Harbour,BS,2021-11-18 01:05:31,26.5412,-77.0636,77.86,66,100,21.56
